Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
80,1251963546064.0,0.302536278963089,90.84,0.835277795791626,70.22,15,0.003,resnet50,GMP,cifar100,0.9
90,1406511046864.0,0.2577902674674988,92.52,0.7036406993865967,70.47,15,0.003,resnet50,GMP,cifar100,0.9
100,1561058547664.0,0.3005817830562591,92.22,0.809462308883667,70.62,15,0.003,resnet50,GMP,cifar100,0.9
101,1561058547664.0,0.2976860404014587,92.8,0.809462308883667,70.62,15,0.003,resnet50,GMP,cifar100,0.9
-1,128809456.0,2.3255248069763184,5.14,2.3538997173309326,5.51,16,0.003,resnet50,GMP,cifar100,0.9
0,15585944176.0,1.151551365852356,36.74,1.1057556867599487,35.86,16,0.003,resnet50,GMP,cifar100,0.9
10,170157291376.0,0.3791224658489227,71.5,0.5123358964920044,60.68,16,0.003,resnet50,GMP,cifar100,0.9
20,324728638576.0,0.3369786739349365,77.82,0.6123871207237244,64.53,16,0.003,resnet50,GMP,cifar100,0.9
30,479299985776.0,0.2578297555446625,81.4,0.5879144072532654,66.64,16,0.003,resnet50,GMP,cifar100,0.9
40,633871332976.0,0.2602792680263519,85.06,0.5725505352020264,67.83,16,0.003,resnet50,GMP,cifar100,0.9
50,788442680176.0,0.2749311923980713,86.54,0.6709922552108765,68.81,16,0.003,resnet50,GMP,cifar100,0.9
60,943014027376.0,0.2682300806045532,88.26,0.7217540144920349,69.36,16,0.003,resnet50,GMP,cifar100,0.9
70,1097585374576.0,0.2537949085235595,90.08,0.7468099594116211,69.69,16,0.003,resnet50,GMP,cifar100,0.9
80,1252156721776.0,0.252132773399353,91.38,0.7832754850387573,69.99,16,0.003,resnet50,GMP,cifar100,0.9
90,1406728068976.0,0.2661799192428589,91.92,0.8138179779052734,70.46,16,0.003,resnet50,GMP,cifar100,0.9
100,1561299416176.0,0.2703730463981628,93.56,0.907011091709137,70.46,16,0.003,resnet50,GMP,cifar100,0.9
101,1561299416176.0,0.2823437750339508,93.12,0.907011091709137,70.46,16,0.003,resnet50,GMP,cifar100,0.9
-1,128876800.0,2.0547521114349365,6.48,2.104289293289185,6.15,17,0.003,resnet50,GMP,cifar100,0.9
0,15594092800.0,1.147199630737305,38.48,1.1649816036224363,36.24,17,0.003,resnet50,GMP,cifar100,0.9
10,170246252800.0,0.3851459920406341,70.12,0.5673408508300781,59.91,17,0.003,resnet50,GMP,cifar100,0.9
20,324898412800.0,0.2629405558109283,77.86,0.6017682552337646,64.3,17,0.003,resnet50,GMP,cifar100,0.9
30,479550572800.0,0.2589062750339508,81.9,0.5713391900062561,66.86,17,0.003,resnet50,GMP,cifar100,0.9
40,634202732800.0,0.2999047338962555,84.78,0.6725322604179382,67.87,17,0.003,resnet50,GMP,cifar100,0.9
50,788854892800.0,0.3002594709396362,87.38,0.6664555072784424,68.92,17,0.003,resnet50,GMP,cifar100,0.9
