Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
80,349817127088.0,0.05691409856081,1.0222953278571367e-05,98.32,0.1273236721754074,9.178048458124977e-06,92.94,10,0.001,LAMP,resnet18,cifar10,0.9
90,392986661488.0,0.0430234931409359,1.242023063241504e-05,98.48,0.1212096959352493,1.1259852726652753e-05,92.9,10,0.001,LAMP,resnet18,cifar10,0.9
-1,143777968.0,0.8123546838760376,4.285386694391491e-06,83.68,0.726507842540741,3.2621562695567263e-06,81.66,11,0.001,LAMP,resnet18,cifar10,0.9
0,4457117008.0,0.4631904661655426,2.6154450551985065e-06,92.3,0.4132206737995147,2.1366620330809383e-06,88.37,11,0.001,LAMP,resnet18,cifar10,0.9
10,47590507408.0,0.1250327080488205,6.5341660047124606e-06,97.32,0.1511021703481674,3.538416649462306e-06,92.17,11,0.001,LAMP,resnet18,cifar10,0.9
20,90723897808.0,0.1147689670324325,5.922645868849941e-06,97.16,0.142535775899887,3.821805876214057e-06,92.19,11,0.001,LAMP,resnet18,cifar10,0.9
30,133857288208.0,0.0974402204155922,4.984839506505523e-06,97.52,0.1352587342262268,3.97173880628543e-06,92.38,11,0.001,LAMP,resnet18,cifar10,0.9
40,176990678608.0,0.0742327123880386,6.681530976493377e-06,97.76,0.1231769993901252,5.388518729887437e-06,92.54,11,0.001,LAMP,resnet18,cifar10,0.9
50,220124069008.0,0.0664030537009239,9.360173862660304e-06,97.86,0.1120997741818428,6.631333235418424e-06,92.63,11,0.001,LAMP,resnet18,cifar10,0.9
60,263257459408.0,0.0636632665991783,9.698545909486713e-06,97.78,0.1172855421900749,6.75462342769606e-06,92.61,11,0.001,LAMP,resnet18,cifar10,0.9
70,306390849808.0,0.0547453798353672,8.831090781313833e-06,97.8,0.113507479429245,7.231111794681055e-06,92.66,11,0.001,LAMP,resnet18,cifar10,0.9
80,349524240208.0,0.0600565075874328,1.0263858712278306e-05,98.08,0.1189141571521759,8.256476576207206e-06,92.74,11,0.001,LAMP,resnet18,cifar10,0.9
90,392657630608.0,0.0488566569983959,1.3322044651431495e-05,98.08,0.1132984831929206,9.770429642230738e-06,92.77,11,0.001,LAMP,resnet18,cifar10,0.9
-1,143872528.0,0.8126370310783386,4.044630259159021e-06,82.1,0.7260026931762695,2.953909643110819e-06,81.01,12,0.001,LAMP,resnet18,cifar10,0.9
0,4460048368.0,0.4457860291004181,2.472089136063005e-06,92.54,0.3718226552009582,2.2719946173310746e-06,88.87,12,0.001,LAMP,resnet18,cifar10,0.9
10,47621806768.0,0.1125351265072822,4.9451605264039245e-06,97.42,0.1564718931913375,3.396251258891425e-06,92.09,12,0.001,LAMP,resnet18,cifar10,0.9
20,90783565168.0,0.1068304926156997,4.962675120623317e-06,97.06,0.1550238728523254,3.5690777622221503e-06,92.14,12,0.001,LAMP,resnet18,cifar10,0.9
30,133945323568.0,0.1148869395256042,5.63576077183825e-06,97.32,0.1412704735994339,4.097558303328697e-06,92.27,12,0.001,LAMP,resnet18,cifar10,0.9
40,177107081968.0,0.0713321566581726,7.315715265576728e-06,97.76,0.1301158815622329,5.7425950217293575e-06,92.63,12,0.001,LAMP,resnet18,cifar10,0.9
50,220268840368.0,0.0647874101996421,6.531943654408678e-06,98.18,0.1317175030708313,7.2291813921765424e-06,92.77,12,0.001,LAMP,resnet18,cifar10,0.9
60,263430598768.0,0.0649446919560432,1.0947492228297053e-05,97.9,0.1318442374467849,7.353325599979144e-06,92.77,12,0.001,LAMP,resnet18,cifar10,0.9
70,306592357168.0,0.0590675361454486,8.091400559351314e-06,98.06,0.1352830529212951,7.909759915492032e-06,92.81,12,0.001,LAMP,resnet18,cifar10,0.9
80,349754115568.0,0.0529514476656913,1.146971590060275e-05,98.06,0.1334479600191116,9.416599823452998e-06,92.88,12,0.001,LAMP,resnet18,cifar10,0.9
90,392915873968.0,0.0513846799731254,1.401712233928265e-05,98.22,0.137320265173912,1.081965910998406e-05,92.96,12,0.001,LAMP,resnet18,cifar10,0.9
-1,143957824.0,0.9619480967521667,3.589046173146926e-06,78.52,0.8996117115020752,3.0340315788635053e-06,77.95,13,0.001,LAMP,resnet18,cifar10,0.9
0,4462692544.0,0.485718309879303,3.078960617131088e-06,91.4,0.4247448444366455,2.040138042502804e-06,88.07,13,0.001,LAMP,resnet18,cifar10,0.9
10,47650039744.0,0.1064711064100265,5.028421128372429e-06,97.3,0.1468709856271743,3.915193701686803e-06,92.17,13,0.001,LAMP,resnet18,cifar10,0.9
20,90837386944.0,0.0978365316987037,6.163427315186709e-06,97.4,0.1380360722541809,4.325931058701826e-06,92.24,13,0.001,LAMP,resnet18,cifar10,0.9
